ENU4200310010
year,period,periodName,latest,value,footnotes
2019,M09,September,true,704828,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2010,M11,November,17912,[{}]
2010,M10,October,17942,[{}]
2010,M09,September,17986,[{}]
2010,M08,August,17589,[{}]
2010,M07,July,17530,[{}]
2010,M06,June,18070,[{}]
2010,M05,May,18149,[{}]
2010,M04,April,17774,[{}]
2010,M03,March,17406,[{}]
2010,M02,February,17126,[{}]
2010,M01,January,17131,[{}]


ENU4200520010
year,period,periodName,latest,value,footnotes
2019,Q03,3rd Quarter,true,1501,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2019,Q02,2nd Quarter,1469,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2019,Q01,1st Quarter,1457,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2018,Q04,4th Quarter,1486,[{}]
2018,Q03,3rd Quarter,1494,[{}]
2018,Q02,2nd Quarter,1499,[{}]
2018,Q01,1st Quarter,1505,[{}]
2017,Q04,4th Quarter,1500,[{}]
2017,Q03,3rd Quarter,1497,[{}]
2017,Q02,2nd Quarter,1513,[{}]
2017,Q01,1st Quarter,1521,[{}]
2016,Q04,4th Quarter,1521,[{}]
2016,Q03,3rd Quarter,1522,[{}]
2016,Q02,2nd Quarter,1523,[{}]
2016,Q01,1st Quarter,1537,[{}]
2015,Q04,4th Quarter,1544,[{}]
2015,Q03,3rd Quarter,1544,[{}]
2015,Q02,2nd Quarter,1525,[{}]
2015,Q01,1st Quarter,1535,[{}]
2014,Q04,4th Quarter,1523,[{}]
2014,Q03,3rd Quarter,1519,[{}]
2014,Q02,2nd Quarter,1519,[{}]
2014,Q01,1st Quarter,1520,[{}]
2013,Q04,4th Quarter,1520,[{}]
2013,Q03,3rd Quarter,1515,[{}]
2013,Q02,2nd Quarter,1510,[{}]
2013,Q01,1st Quarter,1528,[{}]
2012,Q04,4th Quarter,1520,[{}]
2012,Q03,3rd Quarter,1535,[{}]
2012,Q02,2nd Quarter,1562,[{}]
2012,Q01,1st Quarter,1568,[{}]
2011,Q04,4th Quarter,1576,[{}]
2011,Q03,3rd Quarter,1566,[{}]
2011,Q02,2nd Quarter,1574,[{}]
2011,Q01,1st Quarter,1577,[{}]
2010,Q04,4th Quarter,1582,[{}]
2010,Q03,3rd Quarter,1580,[{}]
2010,Q02,2nd Quarter,1553,[{}]
2010,Q01,1st Quarter,1555,[{}]


ENU4200710010
year,period,periodName,latest,value,footnotes
2019,M09,September,true,57770,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2019,M08,August,57091,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2019,M07,July,56192,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2019,M06,June,56713,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2019,M05,May,56190,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2019,M04,April,55581,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2019,M03,March,54385,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2019,M02,February,53702,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2019,M01,January,53721,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2018,M12,December,54480,[{}]
2018,M11,November,54311,[{}]
2018,M10,October,53981,[{}]
2018,M09,September,53773,[{}]
2018,M08,August,53109,[{}]
2018,M07,July,53019,[{}]
2018,M06,June,53453,[{}]
2018,M05,May,53426,[{}]
2018,M04,April,52688,[{}]
2018,M03,March,51673,[{}]
2018,M02,February,50986,[{}]
2018,M01,January,50576,[{}]
2017,M12,December,52010,[{}]
2017,M11,November,52415,[{}]
2017,M10,October,52310,[{}]
2017,M09,September,52028,[{}]
2017,M08,August,51533,[{}]
2017,M07,July,51375,[{}]
2017,M06,June,51921,[{}]
2017,M05,May,51592,[{}]
2017,M04,April,50970,[{}]
2017,M03,March,50039,[{}]
2017,M02,February,49667,[{}]
2017,M01,January,49363,[{}]
2016,M12,December,50528,[{}]
2016,M11,November,50966,[{}]
2016,M10,October,51235,[{}]
2016,M09,September,51080,[{}]
2016,M08,August,51043,[{}]
2016,M07,July,51292,[{}]
2016,M06,June,51881,[{}]
2016,M05,May,51935,[{}]
2016,M04,April,51421,[{}]
2016,M03,March,50877,[{}]
2016,M02,February,50676,[{}]
2016,M01,January,50732,[{}]
2015,M12,December,52218,[{}]
2015,M11,November,52418,[{}]
2015,M10,October,52406,[{}]
2015,M09,September,52125,[{}]
2015,M08,August,52125,[{}]
2015,M07,July,52046,[{}]
2015,M06,June,53215,[{}]
2015,M05,May,52705,[{}]
2015,M04,April,52198,[{}]
2015,M03,March,51332,[{}]
2015,M02,February,51120,[{}]
2015,M01,January,51327,[{}]
2014,M12,December,52818,[{}]
2014,M11,November,53136,[{}]
2014,M10,October,53207,[{}]
2014,M09,September,52720,[{}]
2014,M08,August,52500,[{}]
2014,M07,July,52193,[{}]
2014,M06,June,53971,[{}]
2014,M05,May,53744,[{}]
2014,M04,April,53294,[{}]
2014,M03,March,52278,[{}]
2014,M02,February,51922,[{}]
2014,M01,January,52056,[{}]
2013,M12,December,53555,[{}]
2013,M11,November,53797,[{}]
2013,M10,October,54121,[{}]
2013,M09,September,54042,[{}]
2013,M08,August,53523,[{}]
2013,M07,July,53449,[{}]
2013,M06,June,54733,[{}]
2013,M05,May,54866,[{}]
2013,M04,April,54202,[{}]
2013,M03,March,53428,[{}]
2013,M02,February,53097,[{}]
2013,M01,January,53087,[{}]
2012,M12,December,54818,[{}]
2012,M11,November,55346,[{}]
2012,M10,October,55337,[{}]
2012,M09,September,54899,[{}]
2012,M08,August,54193,[{}]
2012,M07,July,54041,[{}]
2012,M06,June,55350,[{}]
2012,M05,May,55616,[{}]
2012,M04,April,54938,[{}]
2012,M03,March,54178,[{}]
2012,M02,February,53793,[{}]
2012,M01,January,53832,[{}]
2011,M12,December,54914,[{}]
2011,M11,November,55238,[{}]
2011,M10,October,54966,[{}]
